index,symbol,entry_amount,entry_price,entry_date,quantity,exit_date,exit_price,pl,exit_amount
0,AAPL,999.81,0.31,1990-08-22,3188,1990-11-12,0.32,32.02,1031.83
1,AAPL,1031.91,0.42,1991-05-01,2446,1991-08-13,0.48,136.5,1168.4
2,AAPL,1168.37,0.44,1992-06-16,2657,1992-10-26,0.46,53.38,1221.74
3,AAPL,1221.84,0.47,1993-02-16,2582,1993-05-20,0.52,132.56,1354.4
4,AAPL,1354.37,0.4,1993-06-09,3428,1993-10-21,0.27,-428.5,925.87
5,AAPL,925.88,0.28,1994-04-14,3292,1994-07-29,0.3,64.3,990.17
6,AAPL,990.0,0.31,1995-03-14,3168,1995-05-12,0.39,243.96,1233.96
7,AAPL,1234.17,0.32,1995-09-15,3853,1995-11-14,0.37,193.51,1427.68
8,AAPL,1427.64,0.29,1995-12-18,4958,1997-08-01,0.17,-578.25,849.39
9,AAPL,849.42,0.15,1997-10-24,5744,1998-01-06,0.17,121.81,971.22
10,AAPL,971.14,0.46,2000-09-29,2112,2001-12-05,0.42,-75.05,896.09
11,AAPL,896.22,0.37,2002-06-11,2453,2002-11-04,0.3,-156.38,739.84
12,AAPL,739.83,1.26,2005-04-15,586,2005-07-19,1.54,164.08,903.91
13,AAPL,903.71,2.1,2006-03-28,431,2006-07-31,2.43,142.38,1046.1
14,AAPL,1043.03,4.97,2008-01-23,210,2008-04-07,5.57,126.15,1169.18
15,AAPL,1170.1,5.42,2008-09-09,216,2009-03-23,3.85,-339.58,830.52
16,AAPL,824.0,20.6,2012-11-02,40,2013-08-02,16.52,-163.23,660.77
17,AAPL,660.38,30.02,2015-07-09,22,2016-03-22,26.68,-73.42,586.96
18,AAPL,586.92,24.45,2016-04-27,24,2016-08-01,26.51,49.38,636.3
19,AAPL,625.83,27.21,2016-11-04,23,2017-01-09,29.75,58.36,684.19
20,AAPL,682.12,40.12,2018-02-02,17,2018-05-09,46.84,114.16,796.28
21,AAPL,796.41,44.24,2018-11-20,18,2019-03-13,45.43,21.29,817.7
22,AAPL,831.58,43.77,2019-05-31,19,2019-10-21,60.13,310.84,1142.42
23,AAPL,1094.08,68.38,2020-02-27,16,2020-06-05,82.88,231.92,1326.0
24,AAPL,1330.89,120.99,2021-02-25,11,2021-06-30,136.96,175.67,1506.56
25,AAPL,1520.2,138.2,2022-09-30,11,2023-02-02,150.82,138.82,1659.02
26,AAPL,1609.65,178.85,2023-08-07,9,2023-11-16,189.71,97.74,1707.39
